areas_cierre_wizard_rel|areas_id|sicpro_app_trabajadores_cierre_wizard|id|areas_cierre_wizard_rel_areas_id_fkey
sicpro_app_login_config_sociales|create_uid|res_users|id|sicpro_app_login_config_sociales_create_uid_fkey
sicpro_app_login_config_sociales|write_uid|res_users|id|sicpro_app_login_config_sociales_write_uid_fkey
sicpro_app_login_config_version|create_uid|res_users|id|sicpro_app_login_config_version_create_uid_fkey
sicpro_app_login_config_version|write_uid|res_users|id|sicpro_app_login_config_version_write_uid_fkey
sicpro_app_materiales_insumos|message_main_attachment_id|ir_attachment|id|sicpro_app_materiales_insumos_message_main_attachment_id_fkey
sicpro_app_medios_informaticos_bajas|message_main_attachment_id|ir_attachment|id|sicpro_app_medios_informaticos__message_main_attachment_id_fkey
sicpro_app_medios_informaticos_pdtes_piezas|message_main_attachment_id|ir_attachment|id|sicpro_app_medios_informaticos_message_main_attachment_id_fkey1
sicpro_app_medios_informaticos_taller|message_main_attachment_id|ir_attachment|id|sicpro_app_medios_informaticos_message_main_attachment_id_fkey2
sicpro_app_metrologia_categoria|create_uid|res_users|id|sicpro_app_metrologia_categoria_create_uid_fkey
sicpro_app_metrologia_categoria|write_uid|res_users|id|sicpro_app_metrologia_categoria_write_uid_fkey
sicpro_app_metrologia_equipos_transferencias|message_main_attachment_id|ir_attachment|id|sicpro_app_metrologia_equipos_t_message_main_attachment_id_fkey
sicpro_app_metrologia_equipos|message_main_attachment_id|ir_attachment|id|sicpro_app_metrologia_equipos_message_main_attachment_id_fkey
sicpro_app_nube_etecsa_token|create_uid|res_users|id|sicpro_app_nube_etecsa_token_create_uid_fkey
sicpro_app_nube_etecsa_token|write_uid|res_users|id|sicpro_app_nube_etecsa_token_write_uid_fkey
sicpro_app_ordenes_trabajo_anexo_problemas|message_main_attachment_id|ir_attachment|id|sicpro_app_ordenes_trabajo_anex_message_main_attachment_id_fkey
sicpro_app_ordenes_trabajo_equipos_complementarios|message_main_attachment_id|ir_attachment|id|sicpro_app_ordenes_trabajo_equ_message_main_attachment_id_fkey1
sicpro_app_ordenes_trabajo_equipos_especializados|message_main_attachment_id|ir_attachment|id|sicpro_app_ordenes_trabajo_equi_message_main_attachment_id_fkey
sicpro_app_ordenes_trabajo_trabajadores|message_main_attachment_id|ir_attachment|id|sicpro_app_ordenes_trabajo_trab_message_main_attachment_id_fkey
sicpro_app_ordenes_trabajo_transporte|message_main_attachment_id|ir_attachment|id|sicpro_app_ordenes_trabajo_tran_message_main_attachment_id_fkey
sicpro_app_ordenes_trabajo|cliente_id|sicpro_app_clientes|id|sicpro_app_ordenes_trabajo_cliente_id_fkey
sicpro_app_ordenes_trabajo|message_main_attachment_id|ir_attachment|id|sicpro_app_ordenes_trabajo_message_main_attachment_id_fkey
sicpro_app_repo_autores|message_main_attachment_id|ir_attachment|id|sicpro_app_repo_autores_message_main_attachment_id_fkey
sicpro_app_repo_tutor_externo|message_main_attachment_id|ir_attachment|id|sicpro_app_repo_tutor_externo_message_main_attachment_id_fkey
sicpro_app_repo_tutor_interno|message_main_attachment_id|ir_attachment|id|sicpro_app_repo_tutor_interno_message_main_attachment_id_fkey
sicpro_app_repo|message_main_attachment_id|ir_attachment|id|sicpro_app_repo_message_main_attachment_id_fkey
sicpro_app_reuniones_acuerdos|message_main_attachment_id|ir_attachment|id|sicpro_app_reuniones_acuerdos_message_main_attachment_id_fkey
sicpro_app_reuniones_decisiones|message_main_attachment_id|ir_attachment|id|sicpro_app_reuniones_decisiones_message_main_attachment_id_fkey
sicpro_app_reuniones_despachos|message_main_attachment_id|ir_attachment|id|sicpro_app_reuniones_despachos_message_main_attachment_id_fkey
sicpro_app_reuniones_participantes|message_main_attachment_id|ir_attachment|id|sicpro_app_reuniones_participan_message_main_attachment_id_fkey
sicpro_app_reuniones|message_main_attachment_id|ir_attachment|id|sicpro_app_reuniones_message_main_attachment_id_fkey
sicpro_app_salon_clases_adjuntos|create_uid|res_users|id|sicpro_app_salon_clases_adjuntos_create_uid_fkey
sicpro_app_salon_clases_adjuntos|write_uid|res_users|id|sicpro_app_salon_clases_adjuntos_write_uid_fkey
sicpro_app_salon_clases_sicpro_app_salon_clases_adjuntos_rel|sicpro_app_salon_clases_adjuntos_id|sicpro_app_salon_clases_adjuntos|id|sicpro_app_salon_clases_sicpr_sicpro_app_salon_clases_adju_fkey
sicpro_app_salon_clases_sicpro_app_salon_clases_adjuntos_rel|sicpro_app_salon_clases_id|sicpro_app_salon_clases|id|sicpro_app_salon_clases_sicpro__sicpro_app_salon_clases_id_fkey
sicpro_app_salon_clases_temas|message_main_attachment_id|ir_attachment|id|sicpro_app_salon_clases_temas_message_main_attachment_id_fkey
sicpro_app_salon_clases|message_main_attachment_id|ir_attachment|id|sicpro_app_salon_clases_message_main_attachment_id_fkey
sicpro_app_servicios_internos_correos|message_main_attachment_id|ir_attachment|id|sicpro_app_servicios_internos_c_message_main_attachment_id_fkey
sicpro_app_servicios_internos_fijos|message_main_attachment_id|ir_attachment|id|sicpro_app_servicios_internos_f_message_main_attachment_id_fkey
sicpro_app_servicios_internos_lineas|message_main_attachment_id|ir_attachment|id|sicpro_app_servicios_internos_l_message_main_attachment_id_fkey
sicpro_app_servicios_internos_nauta|message_main_attachment_id|ir_attachment|id|sicpro_app_servicios_internos_n_message_main_attachment_id_fkey
sicpro_app_servicios_internos_solicitudes|message_main_attachment_id|ir_attachment|id|sicpro_app_servicios_internos_s_message_main_attachment_id_fkey
sicpro_app_solicitudes_canceladas_t2|create_uid|res_users|id|sicpro_app_solicitudes_canceladas_t2_create_uid_fkey
