role_id_15,group_id_15,group_name_15,functional_15,role_name_15,group_id_19,group_name_19,privilege_id_19,privilege_name_19,category_id_19,category_name_19,xml_ids_19,score,reasons
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,116,Administrador,36,Transporte,98,Transportación,sicpro_app_transporte.grupo_app_transporte_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,122,Administrador,38,Víveres Logística,111,Alimentación,sicpro_app_viveres.grupo_app_viveres_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,129,Administrador,40,Clientes,101,Solicitudes de Obras,sicpro_app_clientes.grupo_app_clientes_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,132,Administrador,41,Instrucciones,97,Capital Humano,sicpro_app_instrucciones.grupo_app_instruciones_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,140,Administrador,43,Operaciones,110,Programa de la Vivienda,sicpro_app_programa_viviendas.grupo_app_vivienda_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,144,Administrador,44,Solicitudes,101,Solicitudes de Obras,sicpro_app_solicitudes.grupo_app_solicitud_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,155,Administrador,50,Usuarios Internos,103,Órdenes de Trabajo,sicpro_app_ordenes_trabajo.grupo_ordenes_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,168,Administrador,53,Transferencias,104,Gestión de Gastos,sicpro_app_transferencias_gastos.grupo_transferencias_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,4,Role / Administrator,,,,,base.group_system,45,"PRIVILEGE_PARTIAL;IMPLIED_COMMON:access rights,administrador;HAS_XMLID_19"
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,1,Role / User,,,,,base.group_user,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,2,Access Rights,,,,,base.group_erp_manager,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,3,Bypass HTML Field Sanitize,,,,,base.group_sanitize_override,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,5,Multi Companies,,,,,base.group_multi_company,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,6,Multi Currencies,,,,,base.group_multi_currency,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,7,Technical Features,,,,,base.group_no_one,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,10,Role / Portal,,,,,base.group_portal,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,11,Role / Public,,,,,base.group_public,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,12,Default access for new users,,,,,base.default_user_group,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,13,Technical Documentation,,,,,api_doc.group_allow_doc,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,15,Mail Template Editor,,,,,mail.group_mail_template_editor,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,16,Receive notifications in Odoo,,,,,mail.group_mail_notification_type_inbox,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,25,Menus y Accesos Obsoletos,,,,,sicpro_app_administracion.grupo_app_administracion_obsoletos,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,26,Manage Multiple Units of Measure,,,,,uom.group_uom,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,27,Analytic Accounting,,,,,analytic.group_analytic_accounting,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,32,Use Stages on Project,,,,,project.group_project_stages,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,33,Use Recurring Tasks,,,,,project.group_project_recurring_tasks,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,34,Use Task Dependencies,,,,,project.group_project_task_dependencies,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
